0,2012-7-12,人生就像一个种子,人生就像一个种子。你永远不知道下完之后是什么。更不会知道是谁会给你送来它。（周游）
0,2012-7-13,打劫,“打劫！”随着一句不太标准的普通话，飞机上沸腾起来。吃饭的、聊天的、睡觉的，都像听见冲锋号一样两眼放光，兴奋地望向声音的源头。一个平头小伙刚举起半杯透明液体，就被众人压在了身下。半小时后小伙从昏迷中醒来，看着眼前一脸严肃的女乘务长，终于哭着说完了那句话:大姐，加杯水。
0,2012-7-13,举全家之力,举全家之力，让儿子跳出农门，成为公门中人，岂料遇到拆迁，老村长的父亲成为村民代表，与政府谈判，被政府工作人员当场抽巴掌。当晚，儿子被停职，回家做父亲工作。父子相对，沉默无语，儿子数度想开口，却忍住，数分钟后，父亲站起，两眼落泪，狠抽儿子一巴掌，儿子亦流泪，自抽一巴掌。协议遂签。（@甬上菜贩）
0,2012-7-13,为什么中国和俄罗斯没有领土纷争,问：为什么中国和俄罗斯没有领土纷争？答：有纷争的都划给俄罗斯了！
0,2012-7-13,理想,当我上高中时，我的同学都想去谷歌工作，但是我想当被谷歌搜索的人。——lady gaga
0,2012-7-13,清零了,一辆车跑了10万公里，驶入广东省境内，忽然里程表清零了，这是为什么？ 因为它吃了一碗“龟苓膏”。（StarKnight）
0,2012-7-13,想要Android的iPhone,　RT @yamibo: 译自日语推：弟弟说着“想要Android的iPhone”这种完全让人摸不着头脑的话，之后在秋叶原找到了中国产的山寨iPhone（系统装的android）买下给弟弟当生日礼物结果弟弟开心得眼泪都流出来了……
0,2012-7-13,720p,@Thruth:操，我还停留在看3P的时代。 “@yegle: @Thruth 这年头A片都是720p了好不好…”
0,2012-7-13,讲讲钓鱼岛的来龙去脉不好吗,@Ricky_Golfer：你在街上随便问个人都知道钓鱼岛是中国的，可你在街上问1000个人是否知道钓鱼岛为什么属于中国，估计有一个能回答上来的就不错。政府有时候做事情就这麽奇怪，让人民和你一起摇旗呐喊，又不告诉人民依据。中学历史课别总教育学生抗战是在我党领导下胜利的，讲讲钓鱼岛的来龙去脉不好吗？
0,2012-7-14,平,一个平胸的女生家里装修房子。施工队工程质量太差，爸爸和他们吵了起来！女生过来劝架。爸爸说：“正好你来了，快躺下！”爸爸指着女生对施工头吼道：“看见了吗？这才叫平！你那地砖铺的也叫平。”
0,2012-7-14,排华,中午吃饭，大家讨论哪个国家最排华？于是开始列举，全世界最排华的地方在哪里：限制华人自由出入、限制华人买房、限制华人买车、限制华人子女自由上学、强迫华人缴纳更高的税、限制华人购买更高价的油价、缴纳更贵的网费、给华人吃地沟油蒙牛奶粉……最后，所有人都不说话了。（@waffler22）
0,2012-7-14,禁止恋爱,学校禁止谈恋爱，但是我们班有两个同学仍然偷偷摸摸的谈，被班主任发现之后，叫来双方家长。班主任本来是想让家长说说自己的孩子。结果家长聊了聊发现对方家庭情况都还不错，就订婚，订婚了……（Herakles）
0,2012-7-14,冲动,《人民日报》告诫美国，应克制民主说教的冲动，希拉里回应说，你们中国的官员和家属，更应克制移民美国的冲动。
